company,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
Jeep,Compass 2.0 Longitude Option BSIV,1002999.9999999999,86226,Diesel,Manual,1st Owner,2017-03-21,1956,5
Renault,Duster RXZ Turbo CVT,1283000.0,13248,Petrol,Automatic,1st Owner,2021-06-10,1330,5
Toyota,Camry 2.5 G,1639999.9999999998,60343,Petrol,Automatic,1st Owner,2016-03-23,2494,5
Honda,Jazz VX CVT,777000.0,26696,Petrol,Automatic,1st Owner,2018-09-22,1199,5
Volkswagen,Polo 1.2 MPI Highline,515000.00000000006,69414,Petrol,Manual,1st Owner,2016-02-17,1199,5
Volkswagen,Vento 1.2 TSI Highline AT,766000.0,49719,Petrol,Automatic,1st Owner,2017-07-11,1197,5
Volkswagen,Vento 1.2 TSI Highline Plus AT,758000.0,43688,Petrol,Automatic,1st Owner,2017-01-20,1197,5
Honda,WR-V VX Diesel,1160000.0,14470,Diesel,Manual,1st Owner,2021-10-28,1498,5
Honda,City i VTEC CVT SV,699000.0,21429,Petrol,Automatic,1st Owner,2015-03-31,1497,5
Renault,Duster Petrol RXS CVT,753000.0,31750,Petrol,Automatic,1st Owner,2017-07-18,1498,5
Maruti,Baleno 1.2 Alpha,643000.0,38203,Petrol,Manual,1st Owner,2017-03-30,1197,5
Honda,City i VTEC CVT SV,543000.0,110284,Petrol,Automatic,1st Owner,2014-09-10,1497,5
Mahindra,XUV300 W6,861999.9999999999,10381,Petrol,Manual,1st Owner,2020-08-04,1197,5
Jeep,Compass 1.4 Limited Plus BSIV,1678000.0,32378,Petrol,Automatic,1st Owner,2019-03-17,1368,5
Honda,City V MT,1002999.9999999999,38906,Petrol,Manual,1st Owner,2020-06-29,1498,5
Hyundai,Grand i10 AT Asta,563000.0,59313,Petrol,Automatic,2nd Owner,2016-11-01,1197,5
Hyundai,i20 1.4 Asta,667000.0,85672,Diesel,Manual,1st Owner,2017-01-28,1396,5
Maruti,Ciaz 1.4 Delta,673000.0,34971,Petrol,Manual,2nd Owner,2017-05-11,1373,5
Nissan,Micra XL Optional,321000.0,35894,Petrol,Manual,2nd Owner,2015-07-10,1198,5
Maruti,Ciaz Alpha Automatic BSIV,850000.0,56000,Petrol,Automatic,1st Owner,2019-04-08,1462,5
Maruti,Swift Dzire VXI,434000.0,56568,Petrol,Manual,1st Owner,2014-11-03,1197,5
Renault,KWID RXT,311000.0,48872,Petrol,Manual,1st Owner,2017-11-30,799,5
Renault,KWID RXL BSIV,370000.0,17346,Petrol,Manual,1st Owner,2019-08-16,799,5
Jeep,Compass 2.0 Limited Plus BSIV,1588000.0,15414,Diesel,Manual,1st Owner,2019-02-04,1956,5
Hyundai,Grand i10 1.2 Kappa Magna BSIV,541000.0,21239,Petrol,Manual,1st Owner,2018-02-25,1197,5
Maruti,Alto K10 LXI,223000.0,62361,Petrol,Manual,1st Owner,2014-09-10,998,5
Hyundai,Verna 1.6 VTVT S Option,588000.0,79329,Petrol,Manual,2nd Owner,2015-09-17,1591,5
Hyundai,Tucson GLS AT,2278000.0,11945,Petrol,Automatic,1st Owner,2021-06-28,1999,5
Maruti,Swift Dzire VXI 1.2,612000.0,51324,Petrol,Manual,1st Owner,2018-01-13,1197,5
Nissan,Magnite XV Premium,744000.0,5717,Petrol,Manual,1st Owner,2021-03-06,999,5
Honda,City i VTEC CVT VX,839000.0,46417,Petrol,Automatic,1st Owner,2016-09-04,1497,5
Honda,Amaze S i-Vtech,420000.0,100161,Petrol,Manual,1st Owner,2015-08-04,1198,5
Hyundai,Grand i10 Sportz,491000.0,35424,Petrol,Manual,1st Owner,2016-08-05,1197,5
Hyundai,EON Era Plus,293000.0,51085,Petrol,Manual,1st Owner,2017-07-20,814,5
Maruti,Alto 800 LXI,298000.0,30983,Petrol,Manual,1st Owner,2016-12-30,796,5
Renault,KWID RXL,260000.0,32681,Petrol,Manual,1st Owner,2016-02-10,799,5
Hyundai,EON Magna Plus,238000.0,57581,Petrol,Manual,2nd Owner,2014-02-25,814,5
Honda,Jazz 1.2 V AT i VTEC,605000.0,39821,Petrol,Automatic,1st Owner,2016-07-15,1199,5
Maruti,Alto 800 LXI,323000.0,21186,Petrol,Manual,1st Owner,2018-02-02,796,5
Renault,KWID RXL,326000.0,34972,Petrol,Manual,1st Owner,2018-12-25,799,5
Honda,Amaze S i-Vtech,421000.0,46623,Petrol,Manual,2nd Owner,2015-06-25,1198,5
Kia,Seltos GTX Plus,1553000.0,18557,Petrol,Manual,1st Owner,2019-12-23,1353,5
Jeep,Compass 2.0 Limited,1243000.0,58463,Diesel,Manual,1st Owner,2017-01-22,1956,5
MG,Hector Plus Sharp DCT,1850000.0,5000,Petrol,Automatic,1st Owner,2020-11-11,1451,6
Renault,Duster Petrol RXS CVT,890000.0,14000,Petrol,Automatic,1st Owner,2019-12-26,1498,5
BMW,5 Series 520d Luxury Line,4300000.0,61000,Diesel,Automatic,1st Owner,2019-07-01,1995,5
Hyundai,i20 1.4 Magna Executive,600000.0,65392,Diesel,Manual,1st Owner,2017-07-16,1396,5
Mercedes-Benz,CLA 200 CGI Sport,2700000.0,37000,Petrol,Automatic,1st Owner,2018-05-04,1991,5
Maruti,XL6 Zeta,1090000.0,9000,Petrol,Manual,1st Owner,2020-08-09,1462,6
Hyundai,Grand i10 1.2 Kappa Sportz Option AT,590000.0,32000,Petrol,Automatic,1st Owner,2017-01-27,1197,5
